"Name","ClassOrMethod","LOC","CC"
"Menu","C","203","-"
"getDefaultCfgs","M","30","1"
"getEvents","M","4","2"
"init","M","23","4"
"onMenuShow","M","93","19"
"removeMenuEventListener","M","12","3"
"onMenuHide","M","6","2"
"destroy","M","13","4"
