"Name","ClassOrMethod","LOC","CC"
"DragCanvas","C","302","-"
"getEvents","M","18","3"
"onPointerDown","M","22","9"
"hideShapes","M","36","5"
"formatDisplacement","M","51","16"
"onPointerMove","M","43","18"
"onPointerUp","M","33","7"
"onKeydown","M","44","21"
"onKeyup","M","12","7"
"destroy","M","5","2"
