"Name","ClassOrMethod","LOC","CC"
"ModelRectNode","C","403","-"
"draw","M","43","8"
"drawKeyShape","M","22","1"
"calculateAnchorPosition","M","10","1"
"drawLabelShape","M","51","6"
"drawOtherShapes","M","26","1"
"drawPreRectShape","M","31","3"
"drawLogoIconShape","M","54","8"
"drawDescriptionShape","M","39","4"
"drawStateIcon","M","53","9"
