"Name","ClassOrMethod","LOC","CC"
"MapView","C","496","-"
"getDefaultCfgs","M","24","1"
"getEvents","M","6","1"
"init","M","8","1"
"initMap","M","127","6"
"newPointLayer","M","26","3"
"newLineLayer","M","28","1"
"addMapListeners","M","46","4"
"updateMapState","M","14","5"
"onKeyDown","M","7","3"
"onKeyUp","M","7","3"
"onBrushing","M","2","1"
"onBrushEnd","M","2","1"
"onBrush","M","10","2"
"setMapItemState","M","36","3"
"setItemState","M","11","2"
"destroy","M","5","2"
