"Name","ClassOrMethod","LOC","CC"
"Node","C","355","-"
"draw","M","72","11"
"updatePosition","M","46","12"
"updateLabelPosition","M","60","8"
"clone","M","39","2"
"getAnchorPoint","M","4","1"
"getIntersectPoint","M","75","10"
"getPosition","M","12","7"
