"Name","ClassOrMethod","LOC","CC"
"Edge","C","338","-"
"draw","M","77","13"
"forceUpdate","M","20","7"
"updateEnd","M","4","3"
"getEndPoints","M","41","3"
"shouldUpdatePoints","M","14","6"
"updateLabelPosition","M","32","3"
"clone","M","60","4"
