"Name","ClassOrMethod","LOC","CC"
"Legend","C","619","-"
"getDefaultCfgs","M","9","1"
"getEvents","M","5","1"
"init","M","49","10"
"updateLegend","M","74","6"
"createWrapper","M","19","5"
"upsertLegend","M","159","8"
"updateLayout","M","71","11"
"getShapeConfig","M","39","5"
"getLegendSize","M","25","6"
"handleMouseEnter","M","13","3"
"handleMouseLeave","M","16","5"
"handleClick","M","19","4"
"destroy","M","3","1"
