"Name","ClassOrMethod","LOC","CC"
"ClickSelect","C","156","-"
"isMultipleSelect","M","9","2"
"onClickBesideDblClick","M","10","2"
"onClick","M","52","10"
"onCanvasPointerDown","M","6","1"
"onCanvasPointerMove","M","6","4"
"onCanvasPointerUp","M","4","3"
"onCanvasClick","M","23","5"
