"Name","ClassOrMethod","LOC","CC"
"Combo","C","266","-"
"init","M","4","1"
"draw","M","21","3"
"getDisplayModelAndChanges","M","14","1"
"updateModelByBounds","M","19","4"
"getPosition","M","15","4"
"getIntersectPoint","M","68","9"
"clone","M","54","4"
