"Name","ClassOrMethod","LOC","CC"
"CompositionNode","C","74","-"
"changeData","M","10","3"
"getView","M","5","2"
"getScale","M","2","1"
"getScaleByChannel","M","4","2"
"getCoordinate","M","2","1"
"getTheme","M","2","1"
"getGroup","M","6","2"
"show","M","4","3"
"hide","M","4","3"
