Commit ID,Files
c5cf67b7bb342d35c10bb1643be32f7a2319b20e,#('packages/element/package.json' 'packages/plugin/package.json' 'packages/pc/src/behavior/drag-combo.ts' 'packages/pc/src/behavior/scroll-canvas.ts' 'packages/pc/src/graph/graph.ts' 'packages/pc/src/behavior/lasso-select.ts' 'packages/pc/src/graph/controller/layout.ts' 'packages/pc/src/behavior/create-edge.ts' 'packages/pc/src/behavior/zoom-canvas.ts' 'packages/site/docs/manual/middle/elements/methods/lock-node.en.md' 'packages/core/src/graph/controller/item.ts' 'packages/site/docs/manual/middle/elements/methods/lock-node.zh.md' 'packages/site/docs/manual/middle/states/defaultBehavior.zh.md' 'packages/core/src/graph/controller/view.ts' 'packages/pc/src/behavior/click-select.ts' 'packages/core/src/global.ts' 'packages/site/docs/api/Behavior.zh.md' 'packages/site/examples/case/graphDemos/demo/sequence.js' 'packages/pc/package.json' 'packages/pc/src/behavior/collapse-expand.ts' 'packages/plugin/src/minimap/index.ts' 'packages/pc/src/behavior/activate-relations.ts' 'packages/g6/package.json' 'packages/site/docs/api/Behavior.en.md' 'packages/site/examples/case/graphDemos/demo/meta.json' 'packages/pc/src/behavior/tooltip-base.ts' 'packages/core/package.json' 'packages/pc/src/behavior/brush-select.ts' 'packages/pc/tests/unit/graph/tree-graph-spec.ts' 'packages/site/package.json' 'packages/plugin/tests/unit/minimap-spec.ts' 'CHANGELOG.md' 'packages/pc/src/interface/graph.ts' 'packages/site/docs/manual/middle/states/defaultBehavior.en.md' 'packages/pc/src/behavior/drag-canvas.ts' 'packages/pc/src/global.ts' 'packages/g6/src/index.ts' 'packages/pc/src/graph/tree-graph.ts' 'packages/site/docs/api/graphFunc/watermarker.zh.md' 'packages/pc/src/behavior/drag-node.ts' 'packages/site/docs/api/graphFunc/watermarker.en.md' 'packages/site/docs/manual/middle/states/custom-behavior.en.md' 'packages/site/docs/manual/middle/states/custom-behavior.zh.md')
2ac9916d10182eb80caeaf0017959ea6a7c5c9c7,#('demos/pluginMaxSpanningForest.html' '/dev/null' 'src/controller/event.js' 'test/unit/controller/event-spec.js' 'package.json' 'src/version.js' 'demos/pluginMinimap.html')
65a029de6a624535f9d3b33d8929f7d71c2b78ff,#('packages/plugin/src/timeBar/handler.ts' 'packages/element/package.json' 'packages/plugin/package.json' 'packages/pc/tests/unit/element/edge-label-back-spec.ts' 'packages/site/docs/api/graphLayout/dagre.en.md' 'packages/core/src/graph/controller/item.ts' 'packages/plugin/src/timeBar/trend.ts' 'packages/core/src/element/edge.ts' 'packages/pc/tests/unit/graph/svg-spec.ts' 'packages/core/src/global.ts' 'packages/core/src/element/shapeBase.ts' 'packages/pc/package.json' 'packages/core/src/element/node.ts' 'packages/plugin/tests/unit/timebar-spec.ts' 'packages/site/docs/manual/middle/plugins/Plugins.en.md' 'packages/site/docs/manual/middle/plugins/Plugins.zh.md' 'packages/core/src/interface/graph.ts' 'packages/core/src/util/graphic.ts' 'packages/g6/package.json' 'packages/site/docs/api/Plugins.en.md' 'packages/core/package.json' 'packages/plugin/src/timeBar/index.ts' 'packages/site/package.json' 'packages/site/docs/api/graphLayout/dagre.zh.md' 'CHANGELOG.md' 'packages/site/docs/api/treeMethods.zh.md' 'packages/pc/src/global.ts' 'packages/site/docs/api/treeMethods.en.md' 'packages/plugin/src/timeBar/trendTimeBar.ts' 'packages/plugin/src/timeBar/timeButton.ts' 'packages/pc/tests/unit/element/nodes/icon-iconfont-spec.ts' 'packages/site/docs/api/Plugins.zh.md' 'packages/g6/src/index.ts' 'packages/plugin/src/timeBar/controllerBtn.ts' 'packages/plugin/src/timeBar/timeBarSlice.ts' 'packages/pc/tests/unit/performance/data1-spec.ts' 'packages/core/src/graph/graph.ts')
98f3536cbc32ebbd54ba0a3dbfe9a18447860fb1,#('README-zh_CN.md' 'packages/element/package.json' 'packages/plugin/package.json' 'packages/core/src/item/item.ts' 'packages/pc/src/behavior/drag-combo.ts' 'packages/pc/src/behavior/lasso-select.ts' 'packages/site/docs/manual/introduction.en.md' 'packages/g6/README.md' 'packages/site/docs/api/Graph.zh.md' 'packages/pc/src/element/index.ts' 'packages/pc/tests/unit/graph/graph-setmode-spec.ts' 'packages/core/src/global.ts' 'packages/core/src/element/shapeBase.ts' 'packages/core/README.md' 'packages/pc/package.json' 'packages/pc/README.md' 'packages/plugin/tests/unit/timebar-spec.ts' 'packages/pc/tests/unit/graph/graph-spec.ts' 'packages/core/src/util/graphic.ts' 'packages/element/README.md' 'packages/g6/README-zh_CN.md' 'packages/g6/package.json' 'packages/pc/src/index.ts' 'packages/site/docs/api/Plugins.en.md' 'packages/element/README-zh_CN.md' 'packages/core/package.json' 'packages/pc/src/behavior/brush-select.ts' 'packages/element/src/nodes/modelRect.ts' 'packages/site/package.json' 'packages/pc/README-zh_CN.md' 'CHANGELOG.md' 'packages/site/docs/api/treeMethods.zh.md' 'README.md' 'packages/pc/src/global.ts' 'packages/site/docs/api/treeMethods.en.md' 'packages/site/docs/manual/introduction.zh.md' 'packages/plugin/src/timeBar/trendTimeBar.ts' 'packages/site/docs/api/Plugins.zh.md' 'packages/g6/src/index.ts' 'packages/plugin/src/timeBar/controllerBtn.ts' 'packages/site/gatsby-config.js' 'package.json' 'packages/core/README-zh_CN.md' 'packages/core/src/graph/controller/mode.ts' 'packages/pc/src/behavior/drag-node.ts')
90f1264b25b4b37864cca4511a39645595f4b799,#('packages/pc/tests/unit/element/combo-spec.ts' 'packages/site/docs/api/graphFunc/on_off.en.md' 'packages/element/package.json' 'packages/plugin/package.json' 'packages/pc/src/behavior/drag-combo.ts' 'packages/pc/tests/unit/element/edge-label-back-spec.ts' 'packages/pc/src/graph/controller/layout.ts' 'packages/site/docs/api/graphFunc/render.en.md' 'packages/element/src/nodes/circle.ts' 'packages/pc/src/behavior/zoom-canvas.ts' 'packages/core/src/graph/controller/item.ts' 'packages/core/src/graph/controller/view.ts' 'packages/pc/src/behavior/click-select.ts' 'packages/plugin/src/legend/index.ts' 'packages/core/src/graph/controller/layout.ts' 'packages/core/src/global.ts' 'packages/pc/tests/unit/behavior/select-spec.ts' 'packages/pc/package.json' 'packages/plugin/src/minimap/index.ts' 'packages/plugin/src/grid/index.ts' 'packages/core/src/interface/graph.ts' 'packages/plugin/src/imageMinimap/index.ts' 'packages/g6/package.json' 'packages/core/package.json' 'packages/pc/tests/unit/layout/layout-mechanism-spec.ts' 'packages/site/package.json' 'packages/site/docs/api/graphFunc/render.zh.md' 'CHANGELOG.md' 'packages/core/tests/unit/graph/graph-spec.ts' 'packages/pc/tests/unit/behavior/zoom-spec.ts' 'packages/pc/src/global.ts' 'packages/pc/tests/unit/element/nodes/icon-iconfont-spec.ts' 'packages/g6/src/index.ts' 'package.json' 'packages/element/src/nodes/donut.ts' 'packages/core/src/types/index.ts' 'packages/site/docs/api/graphFunc/on_off.zh.md' 'packages/core/src/graph/graph.ts')
532b6499b5d9f43ff43c36d743dc1dd59e2c5c4b,#('plugins/template.maxSpanningForest/index.js' 'src/controller/mapper.js' 'src/item/item.js' 'demos/text.html' 'package.json')
9ba756a7b1bb7fdc24e19e948a46cc074f478b0d,#('src/plugins/tooltip/index.ts' 'stories/Plugins/component/tooltip.tsx')
35bbc3f987db4ae7c2cd9b7b133e581a8f428ca2,#('packages/element/package.json' 'packages/plugin/package.json' 'packages/core/src/item/item.ts' 'packages/pc/tests/unit/element/edge-label-back-spec.ts' 'packages/site/examples/case/treeDemos/demo/decisionTree.js' 'packages/pc/src/behavior/create-edge.ts' 'packages/core/src/element/edge.ts' 'packages/plugin/src/legend/index.ts' 'packages/site/examples/case/treeDemos/index.en.md' 'packages/core/src/global.ts' 'packages/core/src/element/shapeBase.ts' 'packages/pc/package.json' 'packages/core/src/element/node.ts' 'packages/site/examples/case/treeDemos/demo/meta.json' 'packages/site/examples/case/treeDemos/index.zh.md' 'packages/g6/package.json' 'packages/core/package.json' 'packages/element/src/nodes/modelRect.ts' 'packages/site/package.json' 'CHANGELOG.md' 'packages/pc/tests/unit/behavior/drag-node-spec.ts' 'packages/pc/src/global.ts' 'packages/core/src/item/node.ts' 'packages/pc/tests/unit/element/nodes/icon-iconfont-spec.ts' 'packages/g6/src/index.ts' 'packages/site/examples/case/treeDemos/demo/indentedTree.js' 'packages/site/examples/tool/fisheye/demo/fisheyeStyle.js')
5defe9cf0087208c89f80f1503c1ffb85a701f89,#('packages/core/src/item/item.ts' 'packages/core/tests/unit/state/image-state-spec.ts' 'CHANGELOG.md')
384808ad732f757452c546f973b18bdbd7f03f6b,#('packages/core/src/shape/shapeBase.ts' 'packages/core/src/util/graphic.ts' 'packages/core/src/item/item.ts' 'packages/core/src/item/edge.ts' 'packages/pc/src/index.ts' 'packages/pc/src/behavior/brush-select.ts' 'packages/pc/tests/unit/layout/combo-force-spec.ts' 'packages/pc/src/graph/controller/layout.ts' 'packages/pc/tests/unit/element/node-spec.ts' 'packages/core/src/graph/controller/item.ts' 'packages/pc/tests/unit/graph/graph-hull-spec.ts' 'packages/pc/tests/unit/graph/fitView-spec.ts' 'packages/core/src/graph/controller/layout.ts' 'packages/core/src/interface/item.ts' 'packages/pc/tests/unit/graph/issue2393-spec.ts' 'packages/pc/tests/unit/element/nodes/image-spec.ts' 'packages/pc/src/layout/index.ts' 'packages/core/src/graph/graph.ts')
